load,windall,windallsigma,windnorth,windnorthsigma,windsouth,windsouthsigma
32232,4634,2880,3815,3008,819,128
31718,4834,3151,3989,3274,845,123
31556,4905,3150,3978,3295,927,145
32045,4859,3050,3946,3216,913,166
32810,4806,3072,4004,3233,802,161
34697,5555,4306,4697,4472,858,166
34736,6319,5644,5264,5802,1055,158
33946,7269,7136,5887,7463,1382,327
32500,7558,8033,6283,8401,1275,368
30108,7566,7920,6424,8168,1142,248
27533,7534,7757,6374,7919,1160,162
25954,7208,7289,6104,7386,1104,97
25087,6982,6898,5921,6967,1061,69
24776,7027,7112,6019,7160,1008,48
24775,6710,6509,5834,6531,876,22
25403,6284,5747,5540,5765,744,18
27418,5732,4707,5078,4729,654,22
30718,5613,4788,4972,4834,641,46
32200,4804,3940,4223,3989,581,49
31386,4267,3771,3642,3808,625,37
31495,3525,2780,2990,2799,535,19
31702,3155,2802,2714,2813,441,11
31689,2262,1731,1865,1735,397,4
31525,1870,1313,1476,1328,394,15
31665,1547,960,1108,1015,439,55
31617,1449,931,993,967,456,36
31573,1282,827,891,810,391,32
31580,820,176,504,155,316,21
31820,710,129,367,95,343,34
33659,814,216,491,139,323,77
33906,1135,305,774,258,361,47
33156,2030,950,1560,1039,470,89
31734,2863,1811,2385,1947,478,136
29253,3299,2274,2792,2431,507,157
26712,3410,2674,2810,2847,600,173
